
/nfs/wj/data/image/creak_s91.JPG
threshold:1 | accuracy:0.99470 | precision:0.80757 | recall:0.90389 | f1:0.85302 
threshold:2 | accuracy:0.99492 | precision:0.82548 | recall:0.88969 | f1:0.85638 
threshold:3 | accuracy:0.99502 | precision:0.83691 | recall:0.87888 | f1:0.85738 
threshold:4 | accuracy:0.99508 | precision:0.84566 | recall:0.86951 | f1:0.85742 
threshold:5 | accuracy:0.99510 | precision:0.85317 | recall:0.86011 | f1:0.85663 
threshold:6 | accuracy:0.99511 | precision:0.86049 | recall:0.85023 | f1:0.85533 
threshold:7 | accuracy:0.99510 | precision:0.86830 | recall:0.83908 | f1:0.85344 
threshold:8 | accuracy:0.99505 | precision:0.87757 | recall:0.82421 | f1:0.85005 
threshold:9 | accuracy:0.99491 | precision:0.89029 | recall:0.79904 | f1:0.84220 
/nfs/wj/data/image/creak_s91.JPG
threshold:1 | accuracy:0.99470 | precision:0.80757 | recall:0.90389 | f1:0.85302 
threshold:2 | accuracy:0.99492 | precision:0.82548 | recall:0.88969 | f1:0.85638 
threshold:3 | accuracy:0.99502 | precision:0.83691 | recall:0.87888 | f1:0.85738 
threshold:4 | accuracy:0.99508 | precision:0.84566 | recall:0.86951 | f1:0.85742 
threshold:5 | accuracy:0.99510 | precision:0.85317 | recall:0.86011 | f1:0.85663 
threshold:6 | accuracy:0.99511 | precision:0.86049 | recall:0.85023 | f1:0.85533 
threshold:7 | accuracy:0.99510 | precision:0.86830 | recall:0.83908 | f1:0.85344 
threshold:8 | accuracy:0.99505 | precision:0.87757 | recall:0.82421 | f1:0.85005 
threshold:9 | accuracy:0.99491 | precision:0.89029 | recall:0.79904 | f1:0.84220 
