threshold:1 | accuracy:0.00832 | precision:0.00584 | recall:0.00789 | f1:0.00671 
threshold:2 | accuracy:0.00832 | precision:0.00605 | recall:0.00782 | f1:0.00682 
threshold:3 | accuracy:0.00832 | precision:0.00616 | recall:0.00778 | f1:0.00688 
threshold:4 | accuracy:0.00833 | precision:0.00625 | recall:0.00774 | f1:0.00691 
threshold:5 | accuracy:0.00833 | precision:0.00631 | recall:0.00771 | f1:0.00694 
threshold:6 | accuracy:0.00833 | precision:0.00637 | recall:0.00768 | f1:0.00697 
threshold:7 | accuracy:0.00833 | precision:0.00642 | recall:0.00766 | f1:0.00698 
threshold:8 | accuracy:0.00833 | precision:0.00648 | recall:0.00763 | f1:0.00701 
threshold:9 | accuracy:0.00833 | precision:0.00652 | recall:0.00760 | f1:0.00702 
threshold:1 | accuracy:0.01662 | precision:0.00909 | recall:0.01353 | f1:0.01083 
threshold:2 | accuracy:0.01662 | precision:0.00944 | recall:0.01328 | f1:0.01101 
threshold:3 | accuracy:0.01663 | precision:0.00963 | recall:0.01314 | f1:0.01109 
threshold:4 | accuracy:0.01663 | precision:0.00977 | recall:0.01303 | f1:0.01115 
threshold:5 | accuracy:0.01663 | precision:0.00989 | recall:0.01294 | f1:0.01119 
threshold:6 | accuracy:0.01663 | precision:0.01000 | recall:0.01286 | f1:0.01123 
threshold:7 | accuracy:0.01663 | precision:0.01009 | recall:0.01279 | f1:0.01126 
threshold:8 | accuracy:0.01663 | precision:0.01019 | recall:0.01271 | f1:0.01130 
threshold:9 | accuracy:0.01663 | precision:0.01030 | recall:0.01264 | f1:0.01134 
threshold:1 | accuracy:0.02492 | precision:0.01279 | recall:0.01887 | f1:0.01521 
threshold:2 | accuracy:0.02493 | precision:0.01327 | recall:0.01841 | f1:0.01539 
threshold:3 | accuracy:0.02493 | precision:0.01352 | recall:0.01815 | f1:0.01546 
threshold:4 | accuracy:0.02493 | precision:0.01371 | recall:0.01795 | f1:0.01552 
threshold:5 | accuracy:0.02493 | precision:0.01387 | recall:0.01780 | f1:0.01556 
threshold:6 | accuracy:0.02493 | precision:0.01401 | recall:0.01766 | f1:0.01560 
threshold:7 | accuracy:0.02493 | precision:0.01414 | recall:0.01754 | f1:0.01563 
threshold:8 | accuracy:0.02494 | precision:0.01428 | recall:0.01742 | f1:0.01567 
threshold:9 | accuracy:0.02494 | precision:0.01442 | recall:0.01729 | f1:0.01571 
threshold:1 | accuracy:0.03323 | precision:0.01661 | recall:0.02207 | f1:0.01869 
threshold:2 | accuracy:0.03324 | precision:0.01725 | recall:0.02152 | f1:0.01888 
threshold:3 | accuracy:0.03324 | precision:0.01759 | recall:0.02121 | f1:0.01896 
threshold:4 | accuracy:0.03324 | precision:0.01786 | recall:0.02097 | f1:0.01901 
threshold:5 | accuracy:0.03324 | precision:0.01807 | recall:0.02078 | f1:0.01906 
threshold:6 | accuracy:0.03325 | precision:0.01827 | recall:0.02060 | f1:0.01908 
threshold:7 | accuracy:0.03325 | precision:0.01845 | recall:0.02045 | f1:0.01911 
threshold:8 | accuracy:0.03325 | precision:0.01864 | recall:0.02029 | f1:0.01914 
threshold:9 | accuracy:0.03325 | precision:0.01884 | recall:0.02013 | f1:0.01916 
threshold:1 | accuracy:0.04154 | precision:0.02283 | recall:0.02922 | f1:0.02535 
threshold:2 | accuracy:0.04154 | precision:0.02366 | recall:0.02854 | f1:0.02558 
threshold:3 | accuracy:0.04155 | precision:0.02410 | recall:0.02816 | f1:0.02568 
threshold:4 | accuracy:0.04155 | precision:0.02445 | recall:0.02786 | f1:0.02575 
threshold:5 | accuracy:0.04155 | precision:0.02472 | recall:0.02763 | f1:0.02580 
threshold:6 | accuracy:0.04155 | precision:0.02496 | recall:0.02740 | f1:0.02583 
threshold:7 | accuracy:0.04155 | precision:0.02519 | recall:0.02721 | f1:0.02586 
threshold:8 | accuracy:0.04155 | precision:0.02543 | recall:0.02701 | f1:0.02589 
threshold:9 | accuracy:0.04156 | precision:0.02567 | recall:0.02681 | f1:0.02592 
threshold:1 | accuracy:0.04985 | precision:0.02900 | recall:0.03630 | f1:0.03194 
threshold:2 | accuracy:0.04986 | precision:0.03001 | recall:0.03548 | f1:0.03222 
threshold:3 | accuracy:0.04986 | precision:0.03055 | recall:0.03502 | f1:0.03233 
threshold:4 | accuracy:0.04986 | precision:0.03097 | recall:0.03466 | f1:0.03241 
threshold:5 | accuracy:0.04986 | precision:0.03129 | recall:0.03438 | f1:0.03246 
threshold:6 | accuracy:0.04987 | precision:0.03159 | recall:0.03411 | f1:0.03250 
threshold:7 | accuracy:0.04987 | precision:0.03186 | recall:0.03388 | f1:0.03253 
threshold:8 | accuracy:0.04987 | precision:0.03214 | recall:0.03364 | f1:0.03256 
threshold:9 | accuracy:0.04987 | precision:0.03244 | recall:0.03340 | f1:0.03260 
